"filename", "language", "JavaScript", "JSON", "CSS", "Markdown", "HTML", "JavaScript JSX", "XML", "comment", "blank", "total"
"c:\Users\alafd\Desktop\React\bankr\src\components\ManageExpenseForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 92, 0, 0, 9, 101
"c:\Users\alafd\Desktop\React\bankr\src\components\ManageExpenseForm.module.css", "CSS", 0, 0, 63, 0, 0, 0, 0, 0, 13, 76
"c:\Users\alafd\Desktop\React\bankr\src\components\ManageSpaceForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 84, 0, 0, 11, 95
"c:\Users\alafd\Desktop\React\bankr\src\components\ManageSpaceForm.module.css", "CSS", 0, 0, 30, 0, 0, 0, 0, 0, 5, 35
"c:\Users\alafd\Desktop\React\bankr\src\components\MobileNav.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 88, 0, 0, 4, 92
"c:\Users\alafd\Desktop\React\bankr\src\components\MobileNav.module.css", "CSS", 0, 0, 66, 0, 0, 0, 0, 0, 16, 82
"c:\Users\alafd\Desktop\React\bankr\src\components\Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 74, 0, 0, 5, 79
"c:\Users\alafd\Desktop\React\bankr\src\components\Sidebar.module.css", "CSS", 0, 0, 37, 0, 0, 0, 0, 0, 7, 44
"c:\Users\alafd\Desktop\React\bankr\src\components\SortSelect.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 5, 24
"c:\Users\alafd\Desktop\React\bankr\src\components\SortSelect.module.css", "CSS", 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\alafd\Desktop\React\bankr\src\components\SpaceExpenses.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 89, 0, 2, 6, 97
"c:\Users\alafd\Desktop\React\bankr\src\components\SpaceExpenses.module.css", "CSS", 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\alafd\Desktop\React\bankr\src\components\SpaceForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 61, 0, 0, 8, 69
"c:\Users\alafd\Desktop\React\bankr\src\components\SpaceForm.module.css", "CSS", 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\alafd\Desktop\React\bankr\src\components\SpaceItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 4, 36
"c:\Users\alafd\Desktop\React\bankr\src\components\SpaceItem.module.css", "CSS", 0, 0, 59, 0, 0, 0, 0, 0, 11, 70
"c:\Users\alafd\Desktop\React\bankr\src\components\SpacesList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 5, 26
"c:\Users\alafd\Desktop\React\bankr\src\components\SpacesList.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\alafd\Desktop\React\bankr\src\components\TransferItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 90, 0, 8, 18, 116
"c:\Users\alafd\Desktop\React\bankr\src\components\TransferItem.module.css", "CSS", 0, 0, 56, 0, 0, 0, 0, 0, 8, 64
"c:\Users\alafd\Desktop\React\bankr\src\components\TransferList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 98, 0, 0, 13, 111
"c:\Users\alafd\Desktop\React\bankr\src\components\TransferList.module.css", "CSS", 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"c:\Users\alafd\Desktop\React\bankr\src\components\TransferModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 158, 0, 6, 11, 175
"c:\Users\alafd\Desktop\React\bankr\src\components\TransferModal.module.css", "CSS", 0, 0, 39, 0, 0, 0, 0, 0, 7, 46
"c:\Users\alafd\Desktop\React\bankr\src\components\landing\Benefits.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\alafd\Desktop\React\bankr\src\components\landing\CTA.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\alafd\Desktop\React\bankr\src\components\landing\Features.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\alafd\Desktop\React\bankr\src\components\landing\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\alafd\Desktop\React\bankr\src\components\landing\Hero.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"c:\Users\alafd\Desktop\React\bankr\src\components\landing\Hero.module.css", "CSS", 0, 0, 63, 0, 0, 0, 0, 0, 6, 69
"c:\Users\alafd\Desktop\React\bankr\src\components\landing\howitworks.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\alafd\Desktop\React\bankr\src\contexts\BalanceContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 7, 39
"c:\Users\alafd\Desktop\React\bankr\src\contexts\ExpensesContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 38, 0, 56, 9, 103
"c:\Users\alafd\Desktop\React\bankr\src\contexts\FakeAuthContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 68, 0, 0, 14, 82
"c:\Users\alafd\Desktop\React\bankr\src\contexts\LogsContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 9, 31
"c:\Users\alafd\Desktop\React\bankr\src\contexts\SortTypeContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 6, 23
"c:\Users\alafd\Desktop\React\bankr\src\contexts\SpacesContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 8, 49
"c:\Users\alafd\Desktop\React\bankr\src\contexts\TransferContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 64, 0, 3, 11, 78
"c:\Users\alafd\Desktop\React\bankr\src\index.css", "CSS", 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"c:\Users\alafd\Desktop\React\bankr\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 2, 11
"c:\Users\alafd\Desktop\React\bankr\src\pages\CreateTransaction.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 6, 43
"c:\Users\alafd\Desktop\React\bankr\src\pages\CreateTransaction.module.css", "CSS", 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\alafd\Desktop\React\bankr\src\pages\ExpensePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 7, 44
"c:\Users\alafd\Desktop\React\bankr\src\pages\ExpensePage.module.css", "CSS", 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\alafd\Desktop\React\bankr\src\pages\Expenses.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 69, 0, 0, 7, 76
"c:\Users\alafd\Desktop\React\bankr\src\pages\Expenses.module.css", "CSS", 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\alafd\Desktop\React\bankr\src\pages\Graph.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 62, 0, 0, 6, 68
"c:\Users\alafd\Desktop\React\bankr\src\pages\Graph.module.css", "CSS", 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\alafd\Desktop\React\bankr\src\pages\Homepage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 92, 0, 0, 9, 101
"c:\Users\alafd\Desktop\React\bankr\src\pages\Homepage.module.css", "CSS", 0, 0, 19, 0, 0, 0, 0, 9, 5, 33
